,player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
0,6730,Mohsin Khan,Left hand Bat,Left arm Medium fast,Not Specifed,Mohsin Khan,Mohsin Khan,Not Available
1,22,Rashid Khan,Right hand Bat,Legbreak Googly,Not Specifed,Rashid Khan Arman,Rashid Khan,https://www.espncricinfo.com/cricketers/rashid-khan-793463
2,590,K Rabada,Left hand Bat,Right arm Fast,Not Specifed,Kagiso Rabada,Kagiso Rabada,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Kagiso%20Rabada.png
3,1424,SN Khan,Right hand Bat,Legbreak,Not Specifed,Sarfaraz Naushad Khan,Sarfaraz Naushad,Not Available
4,963,MN Samuels,Right hand Bat,Right arm Offbreak,Not Specifed,Marlon Nathaniel Samuels,Marlon Nathaniel,Not Available
5,53,SB Jakati,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Shadab Bashir Jakati,Shadab Bashir,Not Available
6,12,DA Warner,Left hand Bat,Legbreak,Not Specifed,David Andrew Warner,David Andrew,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/David%20Warner.png
7,73,MP Stoinis,Right hand Bat,Right arm Medium,Not Specifed,Marcus Peter Stoinis,Marcus Peter,Not Available
8,1119,R Tewatia,Left hand Bat,Legbreak,Not Specifed,Rahul Tewatia,Rahul Tewatia,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838
9,268,RA Tripathi,Right hand Bat,Right arm Medium,Not Specifed,Rahul Ajay Tripathi,Rahul Ajay,Not Available
10,163,RD Chahar,Right hand Bat,Legbreak Googly,Not Specifed,Rahul Desraj Chahar,Rahul Desraj,Not Available
11,186,S Nadeem,Right hand Bat,Slow Left arm Orthodox,Not Specifed,Shahbaz Nadeem,Shahbaz Nadeem,Not Available
12,59,MK Pandey,Right hand Bat,Right arm Medium,Not Specifed,Manish Krishnanand Pandey,Manish Krishnanand,Not Available
13,531,KS Williamson,Right hand Bat,Right arm Offbreak,Not Specifed,Kane Stuart Williamson,Kane Stuart,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Kane%20Williamson.png
14,56,G Gambhir,Left hand Bat,Legbreak,Not Specifed,Gautam Gambhir,Gautam Gambhir,https://documents.iplt20.com/playerheadshot/ipl/284/84.png
15,39,MK Tiwary,Right hand Bat,Legbreak Googly,Not Specifed,Manoj Kumar Tiwary,Manoj Kumar,Not Available
16,68,M Vohra,Right hand Bat,Right arm Medium,Not Specifed,Manan Vohra,Manan Vohra,Not Available
17,638,NB Singh,Right hand Bat,Right arm Medium,Not Specifed,Nathu Bharat Singh,Nathu Bharat,Not Available
18,40,R Bhatia,Right hand Bat,Right arm Medium fast,Not Specifed,Rajat Bhatia,Rajat Bhatia,Not Available
19,1233,SS Tiwary,Left hand Bat, ,Not Specifed,Saurabh Sunil Tiwary,Saurabh Sunil,Not Available
